placeName,Date:Count_ChildDeliveryEvent_InPublicInstitution,Value:Count_ChildDeliveryEvent_InPublicInstitution,Value:Count_ChildDeliveryEvent_InAnInstitution,Value:Count_PregnancyEvent,Value:Count_ChildDeliveryEvent_AtHome,Value:Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Value:Count_ChildDeliveryEvent,Value:Count_PregnantWomen_RegisteredForAntenatalCare,Value:Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Value:Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester
Andaman and Nicobar Islands,2009-03,4629,4629,8000,297,15,4926,7199,94.3,5119
Andaman and Nicobar Islands,2010-03,4472,4472,9000,539,182,5011,5715,92.9,2271
Andaman and Nicobar Islands,2011-03,4423,4423,9000,322,156,4745,5992,96.5,3526
Andaman and Nicobar Islands,2012-03,4870,4870,7000,363,162,5233,5933,96.2,4093
Andaman and Nicobar Islands,2013-03,4856,4856,7000,276,126,5132,6188,97.1,4405
Andaman and Nicobar Islands,2014-03,4411,4411,7000,201,103,4612,6491,97.9,5024
Andaman and Nicobar Islands,2015-03,4649,4649,7000,180,79,4829,5939,97.9,4623
Andaman and Nicobar Islands,2016-03,3051,3051,7000,116,46,3167,4240,97.8,3261
Andaman and Nicobar Islands,2017-03,3925,3925,7000,102,45,4027,5672,98.6,4355
Andaman and Nicobar Islands,2018-03,3861,3861,6000,88,42,3949,5210,98.8,3913
Andaman and Nicobar Islands,2019-03,3754,3754,5400,86,30,3840,4972,98.5,3681
Andaman and Nicobar Islands,2020-03,3537,3537,5500,65,9,3602,4784,98.4,3455
Andhra Pradesh,2009-03,678682,1229315,1704000,140881,71894,1370196,1799548,95,1002098
Andhra Pradesh,2010-03,663713,1413202,1693000,117821,75171,1531023,1808357,97.2,1201495
Andhra Pradesh,2011-03,557115,1437365,1708000,85296,59403,1522661,1762254,98.3,1197455
Andhra Pradesh,2012-03,560593,1469302,1636000,76445,52447,1545747,1780005,98.4,1212974
Andhra Pradesh,2013-03,506008,1070030,1650000,78516,50441,1148546,1885356,97.6,1215860
Andhra Pradesh,2014-03,534048,908508,1654000,55226,33036,963734,1772790,97.7,1143421
Andhra Pradesh,2015-03,255105,463546,974000,25488,14947,489034,1070551,97.8,689103
Andhra Pradesh,2016-03,244539,577957,960000,10904,6085,588861,666898,99.2,491856
Andhra Pradesh,2017-03,321047,726969,968000,10772,5431,737741,834340,99.3,647624
Andhra Pradesh,2018-03,333338,737140,967000,8634,4334,745774,830965,99.4,653802
Andhra Pradesh,2019-03,322027,742638,913530,4605,2884,747243,858326,99.8,697451
Andhra Pradesh,2020-03,304544,732248,919900,2397,1552,734645,803046,99.9,654059
Arunachal Pradesh,2009-03,9736,9736,30000,823,606,10559,21569,97.9,5663
Arunachal Pradesh,2010-03,9422,9422,30000,418,283,9840,22414,98.6,5439
Arunachal Pradesh,2011-03,10617,10617,30000,651,529,11268,24151,98.9,8582
Arunachal Pradesh,2012-03,11028,11028,31000,572,405,11600,25501,98.6,8436
Arunachal Pradesh,2013-03,12203,14348,30000,751,563,15099,30809,98.8,11273
Arunachal Pradesh,2014-03,12968,14577,30000,695,492,15272,34633,98.7,14539
Arunachal Pradesh,2015-03,13283,15510,31000,1053,542,16563,35542,96.9,13742
Arunachal Pradesh,2016-03,10252,11840,31000,998,534,12838,23420,96.4,8522
Arunachal Pradesh,2017-03,13761,15643,31000,1200,458,16843,29975,95.6,11201
Arunachal Pradesh,2018-03,14760,17010,31000,1842,809,18852,32373,94.5,11243
Arunachal Pradesh,2019-03,14438,16984,30010,1888,788,18872,32159,94.2,12499
Arunachal Pradesh,2020-03,16066,18718,30300,2114,758,20832,30162,93.5,11083
Assam,2009-03,348564,360399,793000,146745,35421,507144,736696,78,256621
Assam,2010-03,374527,397110,790000,114572,25477,511682,734711,82.6,278232
Assam,2011-03,391151,415896,800000,119856,15095,535752,772510,80.4,357440
Assam,2012-03,418170,459053,788000,114727,10464,573780,801575,81.8,415696
Assam,2013-03,448507,497898,787000,100088,8701,597986,802343,84.7,491187
Assam,2014-03,460095,515479,792000,98385,13300,613864,789120,86.1,566386
Assam,2015-03,461329,529279,802000,95897,20401,625176,751185,87.9,580194
Assam,2016-03,332912,397459,812000,66529,14875,463988,555865,88.9,443304
Assam,2017-03,453717,539437,822000,83821,22905,623258,725046,90.2,603268
Assam,2018-03,442564,527006,816000,74945,18755,601951,689620,90.7,584521
Assam,2019-03,446108,532966,797450,60007,17316,592973,701133,92.8,601868
Assam,2020-03,463880,554567,805700,53589,16737,608156,685229,93.9,603179
Bihar,2009-03,535688,535688,3056000,230464,139283,766152,1179314,88.1,464798
Bihar,2010-03,955785,968191,3047000,165800,105347,1133991,1816778,94.7,810572
Bihar,2011-03,1232668,1240587,3090000,208491,92267,1449078,2270420,92,1194248
Bihar,2012-03,1410066,1421077,3193000,389248,135790,1810325,2517011,86,1318555
Bihar,2013-03,1426061,1430827,3234000,452527,107448,1883354,2435830,81.7,1079966
Bihar,2014-03,1585670,1586857,3264000,432977,87627,2019834,2641611,82.9,1166730
Bihar,2015-03,1494110,1494246,3303000,462756,90006,1957002,2634925,81,1355155
Bihar,2016-03,1177970,1249752,3139000,348025,68826,1597777,2058459,82.5,1096660
Bihar,2017-03,1548891,1613102,3175000,474811,93747,2087913,2935167,81.7,1814885
Bihar,2018-03,1637400,1690902,3259000,433717,78975,2124619,3187592,83.3,1968220
Bihar,2019-03,1612421,1696852,3209480,391138,71437,2087990,3271782,84.7,2188568
Bihar,2020-03,1653275,1871740,3242100,335870,64167,2207610,3394623,87.7,2346394
Chandigarh,2009-03,18563,18563,22000,3672,3672,22235,33109,100,9978
Chandigarh,2010-03,19295,19295,24000,2957,356,22252,42165,88.3,10886
Chandigarh,2011-03,20032,20032,25000,2477,70,22509,34998,89.3,11050
Chandigarh,2012-03,21745,21745,18000,1830,41,23575,33601,92.4,11531
Chandigarh,2013-03,23124,23124,19000,1375,36,24499,34304,94.5,12367
Chandigarh,2014-03,25282,25282,19000,871,30,26153,37727,96.8,17706
Chandigarh,2015-03,26209,26209,20000,385,35,26594,37395,98.7,18558
Chandigarh,2016-03,21150,21150,20000,173,2,21323,42733,99.2,15295
Chandigarh,2017-03,29107,29107,21000,109,0,29216,60667,99.6,24811
Chandigarh,2018-03,29208,29208,21000,101,1,29309,41894,99.7,27794
Chandigarh,2019-03,28958,28958,22710,63,2,29021,42358,99.8,34127
Chandigarh,2020-03,28106,28106,23700,37,3,28143,35734,99.9,26155
